Team;Season;Region;Seed;Gol_code;Got_out_of_group;Group_wins
Team_Solo_Mid;S4;NA;1;27;1;4
Cloud9;S4;NA;2;25;1;4
LMQ;S4;NA;3;26;0;2
Alliance;S4;EUW;1;1;0;3
Fnatic;S4;EUW;2;3;0;2
SK_Gaming;S4;EUW;3;6;0;2
Edward_Gaming;S4;CH;1;35;1;3
Star_Horn_Royal_Club;S4;CH;2;33;1;5
OMG;S4;CH;3;32;1;3
Samsung_Blue;S4;KR;1;9;1;5
Samsung_White;S4;KR;2;17;1;6
Najin_White_Shield;S4;KR;3;13;1;4
Taipei_Assasins;S4;LMS;1;36;0;1
AHQ_eSports;S4;LMS;2;37;0;3
Dark_Passage;S4;TR;1;38;0;0
KaBum_Esports;S4;BR;1;39;0;1
AHQ_eSports;S5;LMS;2;107;1;3
Bangkok_Titans;S5;SEA;1;108;0;0
Cloud9;S5;NA;1;53;0;3
Edward_Gaming;S5;CH;1;95;1;4
CLG;S5;NA;2;60;0;2
Flash_Wolves;S5;LMS;1;101;1;4
Fnatic;S5;EUW;1;81;1;4
H2K;S5;EUW;3;80;0;2
IG;S5;CH;2;90;0;2
KOO_Tigers;S5;KR;3;48;1;4
KT_Rollster;S5;KR;2;45;1;5
LGD;S5;CH;3;94;0;2
Origen;S5;EUW;2;118;1;4
Pain_Gaming;S5;BR;1;52;0;2
SKT;S5;KR;1;42;1;6
TSM;S5;NA;2;50;0;1
Edward_Gaming;S6;CH;1;170;1;4
Flash_Wolves;S6;LMS;1;190;0;2
ROX_Tigers;S6;KR;1;166;1;4
Team_Solo_Mid;S6;NA;1;159;0;3
AHQ_eSports;S6;LMS;2;189;0;3
CLG;S6;NA;2;152;0;3
G2_Esports;S6;EUW;1;145;0;1
H2K;S6;EUW;2;139;1;4
I_May;S6;CH;3;196;0;2
Royal_Never_Give_Up;S6;CH;2;177;1;3
Samsung_Galaxy;S6;KR;3;167;1;5
SKT;S6;KR;2;168;1;5
Albus_Nox_Luna;S6;CIS;1;214;1;4
Cloud9;S6;NA;3;141;1;3
Longzhu_Gaming;S7;KR;1;268;1;6
SKT;S7;KR;2;271;1;5
Samsung_Galaxy;S7;KR;3;242;1;4
Edward_Gaming;S7;CH;1;272;0;2
Royal_Never_Give_Up;S7;CH;2;280;1;5
G2_Esports;S7;EUW;1;248;0;3
Misfits_Gaming;S7;EUW;2;250;1;3
Team_Solo_Mid;S7;NA;1;263;0;3
Immortals;S7;NA;2;240;0;2
Flash_Wolves;S7;LMS;1;287;0;1
AHQ_eSports;S7;LMS;2;284;0;2
GIGABYTE_Marine;S7;SEA;1;318;0;2
Cloud9;S7;NA;3;256;1;3
Fnatic;S7;EUW;3;247;1;2
1907_Fenerbache;S7;TR;1;352;0;0
Team_WE;S7;CH;3;282;1;5
KT_Rollster;S8;KR;1;375;1;5
Afreeca_Freecs;S8;KR;2;371;1;4
Gen.G;S8;KR;3;535;0;1
Royal_Never_Give_Up;S8;CH;1;420;1;4
Invictous_Gaming;S8;CH;2;415;1;5
Fnatic;S8;EUW;1;408;1;5
Team_Vitality;S8;EUW;2;402;0;3
Team_Liquid;S8;NA;1;390;0;3
100_Thieves;S8;NA;2;392;0;2
Flash_Wolves;S8;LMS;1;427;0;3
MAD_Team;S8;LMS;2;432;0;0
Phong_Vu_Buffalo;S8;VN;1;545;0;2
Cloud9;S8;NA;3;399;1;4
Edward_Gaming;S8;CH;3;413;1;4
G2_Esports;S8;EUW;3;400;1;3
G-Rex;S8;PCS;1;428;0;0
Fun_Plus_Phoenix;S9;CH;1;609;1;4
Royal_Never_Give_Up;S9;CH;2;692;0;3
Invictous_Gaming;S9;CH;3;610;1;4
SKT;S9;KR;1;585;1;5
Griffin;S9;KR;2;583;1;5
G2_Esports;S9;EUW;1;625;1;5
Fnatic;S9;EUW;2;624;1;4
Team_Liquid;S9;NA;1;602;0;3
Cloud9;S9;NA;2;595;0;2
J_Team;S9;LMS;1;648;0;3
AHQ_eSports;S9;LMS;2;642;0;0
GAM_Esports;S9;VN;1;720;0;1
DAMWON_Gaming;S9;KR;3;584;1;5
Clutch_Gaming;S9;NA;3;596;0;0
Hong_Kong_Attitude;S9;PCS;1;647;0;0
Splyce;S9;EUW;3;630;1;4
